idnum,year,time,average_pay,average_pay_ln,wcouncil,wcouncil_f,wagree,wagree_f,sector,profit,profit_f,emp,empt,empw,firmsize,firmsize_f
184,2019,21,704.5625,6.55757704280475,0,NoWC,0,NoSA,manufacturing,2,sufficient,32,0.094,0.094,1,less50
204,1998,0,902.8287870762712,6.805532930873069,0,NoWC,0,NoSA,buservices,2,sufficient,118,0.034,0.102,3,less250
204,1999,1,733.1455676020408,6.597344273714355,0,NoWC,0,NoSA,buservices,3,satisfactory,98,0.031,0.061,2,less100
204,2001,3,1420.6215876436781,7.258849792593313,0,NoWC,0,NoSA,buservices,4,good,87,0.011,0.126,2,less100
204,2002,4,1515.75,7.3236656449518405,0,NoWC,0,NoSA,buservices,4,good,80,0.025,0.15,2,less100
204,2003,5,1603.0987654320988,7.379693763582487,0,NoWC,0,NoSA,buservices,4,good,81,0.012,0.074,2,less100
204,2006,8,1795.8260869565217,7.493220410630335,0,NoWC,0,NoSA,buservices,2,sufficient,92,0.011,0.065,2,less100
204,2008,10,1521.8349514563106,7.3276720906598545,0,NoWC,0,NoSA,buservices,2,sufficient,103,0.01,0.117,3,less250
204,2009,11,1003.3958333333334,6.911145359493528,0,NoWC,0,NoSA,buservices,3,satisfactory,96,0.01,0.125,2,less100
204,2012,14,1451.0777777777778,7.280061854326846,0,NoWC,0,NoSA,buservices,1,unsatisfactory,90,0.011,0.156,2,less100
204,2013,15,1296.8125,7.16766460948667,0,NoWC,0,NoSA,buservices,2,sufficient,96,0.01,0.156,2,less100
204,2014,16,1677.975,7.42534298822725,0,NoWC,0,NoSA,buservices,3,satisfactory,80,0.013,0.188,2,less100
204,2016,18,1769.1410256410256,7.478249411525531,0,NoWC,0,NoSA,buservices,4,good,78,0.013,0.154,2,less100
204,2018,20,1471.3246753246754,7.293918413666833,0,NoWC,0,NoSA,buservices,4,good,77,0.013,0.078,2,less100
204,2019,21,1293.7105263157894,7.165269745487948,0,NoWC,0,NoSA,buservices,3,satisfactory,76,0.013,0.079,2,less100
216,2001,3,615.936279296875,6.423143515483076,1,WC,0,NoSA,manufacturing,3,satisfactory,24,0.042,0.167,1,less50
216,2002,4,335.2173913043478,5.814779250628225,1,WC,0,NoSA,manufacturing,3,satisfactory,23,0.13,0.087,1,less50
216,2003,5,462.6,6.136862749797339,1,WC,0,NoSA,manufacturing,2,sufficient,25,0.04,0.16,1,less50
228,2006,8,523.4505988023952,6.260442658718087,0,NoWC,1,SA,wholesretail,4,good,668,0.024,0.404,4,more250
228,2007,9,529.6546546546547,6.272225199174671,0,NoWC,1,SA,wholesretail,5,very good,666,0.047,0.502,4,more250
228,2008,10,570.4292604501608,6.346389165908787,0,NoWC,0,NoSA,wholesretail,4,good,622,0.071,0.416,4,more250
228,2009,11,549.3630573248407,6.308759529545298,0,NoWC,0,NoSA,wholesretail,5,very good,628,0.064,0.435,4,more250
228,2010,12,494.7352380952381,6.204022746938476,0,NoWC,0,NoSA,wholesretail,5,very good,525,0.084,0.472,4,more250
228,2011,13,494.35897435897436,6.203261922034891,0,NoWC,0,NoSA,wholesretail,5,very good,585,0.065,0.35,4,more250
228,2012,14,572.9636048526863,6.350822197860961,0,NoWC,0,NoSA,wholesretail,4,good,577,0.069,0.492,4,more250
228,2013,15,552.6770293609671,6.314773797202914,0,NoWC,0,NoSA,wholesretail,5,very good,579,0.055,0.492,4,more250
228,2014,16,592.8705440900563,6.384976068403205,0,NoWC,1,SA,wholesretail,5,very good,533,0.051,0.497,4,more250
228,2015,17,1078.8392156862744,6.983640941815745,0,NoWC,1,SA,wholesretail,5,very good,510,0.057,0.478,4,more250
228,2016,18,715.7545787545788,6.573337341100031,0,NoWC,1,SA,wholesretail,5,very good,546,0.059,0.485,4,more250
228,2017,19,1185.208711433757,7.077674165852753,0,NoWC,1,SA,wholesretail,5,very good,551,0.045,0.515,4,more250
228,2018,20,1260.4156305506217,7.1391968110682225,0,NoWC,1,SA,wholesretail,5,very good,563,0.041,0.497,4,more250
228,2019,21,1334.7659574468084,7.196511242691343,0,NoWC,1,SA,wholesretail,5,very good,564,0.043,0.45,4,more250
228,2021,23,922.2115027829313,6.826774592892529,0,NoWC,1,SA,construction,4,good,539,0.056,0.46,4,more250
277,2004,6,1573.3461538461538,7.360959938509321,0,NoWC,0,NoSA,resthotels,4,good,78,0.026,0.859,2,less100
277,2005,7,2265.2702702702704,7.725449355421154,0,NoWC,0,NoSA,resthotels,3,satisfactory,74,0.068,0.905,2,less100
277,2006,8,1481.7974683544303,7.301011135487664,0,NoWC,0,NoSA,resthotels,4,good,79,0.063,0.848,2,less100
295,1999,1,2001.8919690860216,7.6018479969236985,0,NoWC,1,SA,manufacturing,4,good,372,0.046,0.696,4,more250
295,2000,2,1552.9063275434244,7.34788350422936,0,NoWC,1,SA,manufacturing,3,satisfactory,403,0.055,0.65,4,more250
295,2001,3,1568.9437189054727,7.35815788141119,0,NoWC,1,SA,manufacturing,1,unsatisfactory,402,0.05,0.679,4,more250
295,2002,4,3236.9942196531792,8.082400468213553,0,NoWC,1,SA,manufacturing,3,satisfactory,173,0.11,0.803,3,less250
